R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11
1.7542842329303698,7.768454034223837,7.519437987831479,2.023374513042109,3.4117006884567425,17.49124514657928,1.9171621210309575,7.7468226769145225,10.036389167929482,1.6467459347487168,16.92273801442331
1.4398708674028926,6.478264309909532,6.2677147214892255,1.7817248871773494,2.834860509117587,12.376371433138644,1.5737911715430597,6.460290536059832,7.044049143374975,1.467318278972396,11.961937677973244
2.791087734294506,12.237651943811912,11.852511238476648,3.416742968454445,5.4506051356746905,23.24876007620165,3.04872409512128,12.204728026058675,13.599216086694677,2.8137136398746154,22.52002121654756
1.0916465753494031,4.8161535348121065,4.661057986312056,1.1237738945972686,2.0955424603416817,13.73708427805319,1.193375441409894,4.802309135990557,7.7693597741578575,0.8939928440731104,13.280627107017551
1.6618447925456636,7.372482953265425,7.135636178800953,1.9191208477133737,3.2339341602594662,16.6047371631847,1.816219651778761,7.351913229076645,9.50655263755139,1.5620677702797625,16.062165444360744
1.613019626282708,7.265623465516979,7.029774555923218,2.052423251759772,3.187343488699468,12.725004775226267,1.7628997187008055,7.245640061247249,7.267846710118286,1.6983877489372468,12.299733902565501
3.076865218709346,13.37660527766429,12.959315642399893,3.679537736856364,5.978827842072654,26.698850443644584,3.3604218077803893,13.340728116466217,15.740823507337376,3.019045001204812,25.881220795825065
2.239277793483474,9.94790214050838,9.630133304895317,2.8014509756543515,4.399623510814122,18.063510661330806,2.446621666720661,9.920875543444897,10.440477538439485,2.313747108575015,17.478436694400823
2.220078831277794,9.72211804610248,9.414349718877446,2.508165016075048,4.294938303257867,22.49675545666363,2.4256671460921697,9.695258648353445,13.067214883244205,2.0347154613024387,21.78811641269559
1.3829904820787386,6.168480365767226,5.969002955840031,1.6018839785840955,2.696042213039729,13.92595222160674,1.511661102576467,6.15116448984192,7.9200457615121955,1.3041063685409582,13.463720626081122
2.2907289150383314,9.989269411905388,9.674167281805534,2.532243140683499,4.416215728864725,24.034307999101213,2.502775590588391,9.961627190856593,14.005128276886246,2.0460005004497295,23.284846365385768
1.050183936918847,4.719729996480904,4.565785790955323,1.230573385975653,2.0540565900016294,10.486234098856706,1.1480714335012299,4.706400765550756,5.91718867428177,1.0034771512488105,10.131384936906695
2.1614827620504373,9.466660812431549,9.166757917117806,2.4257395597277687,4.178682029224367,22.23804287251909,2.3617106512007213,9.440444265094028,12.903724200517585,1.965258115844959,21.536377536375806
0.8866851305476042,3.972743609421725,3.8432002094823337,0.9964614781993508,1.7248589511410617,9.7324826632608,0.9694076908235427,3.961410788814823,5.469226077930889,0.8062698065103069,9.401781306254842
1.7505430875659256,7.60196920723375,7.361427650604502,1.7418588301638116,3.334984954325615,22.15274153090928,1.9130770197675506,7.580345433452429,12.795462807461778,1.3767584277028289,21.453382090468697
2.374248558562353,10.444834801192338,10.113792687255573,2.8252432358216506,4.625528453478466,21.51316842968146,2.593923302457646,10.416317449252366,12.499491401051399,2.313991157644646,20.83120136906711
1.2064960341142905,5.445362915127793,5.267561334768245,1.4827328814484009,2.3754474204718212,10.668143114985018,1.3188560055429344,5.4301541948196475,6.042875123586999,1.219315094263873,10.307498964475649
1.5869722013270748,6.932755128357904,6.712124319432055,1.6184340628831895,3.0355305476400196,19.63130970660477,1.734453394617319,6.913026488047036,11.270474432670618,1.2856947868693958,19.001561807794864
1.2509147764662498,5.678911410870624,5.492878817366053,1.6052631211032509,2.4795218545549003,9.75707798809582,1.3673827276144856,5.663178132880963,5.537381304864553,1.329525626165784,9.425585231056255
2.141432870396709,9.49877553762446,9.195300718779587,2.6208678593180657,4.194777679486039,18.36288675267238,2.3398257511613063,9.472814073781288,10.601955249106364,2.156381743750524,17.769201147845926
2.1255720098059427,9.478633583400109,9.174720051993535,2.690069904418868,4.186228973884198,16.68215599109849,2.3225129733380645,9.45286078075307,9.618343854412881,2.225631675494355,16.137306260146445
1.78792801908495,7.955831396048874,7.700102095541228,2.141680576227667,3.496530566266831,16.401079703285447,1.9538984165276552,7.933826173242686,9.406393702833494,1.7548329947444374,15.86451239843253
0.7071525626373365,3.1259010935286824,3.0247094316763645,0.7013639299934926,1.3531615714413747,9.615840787713104,0.7731911850013984,3.1167915377718014,5.377054733312125,0.5533594271436515,9.288895751638837
1.572764311252417,6.885982122275958,6.666478149709654,1.628838099488339,3.0148007921071307,19.049173698752654,1.7189366978204057,6.866421709681648,10.924740621886475,1.2980842713102403,18.43589081041919
1.5728351625150183,7.058620956897599,6.829925531361791,1.9443703540994561,3.094210259706176,13.476147258369565,1.7190140763020612,7.039095923809391,7.690373987183296,1.6012836039450473,13.027691488790893
1.0558726289182863,4.721085826443061,4.567625260981922,1.194576255650237,2.054359006785411,11.337495401734776,1.1542872684166205,4.707684194064932,6.39840269870815,0.9679690457580659,10.955638499475839
0.6275804172135802,2.8068558488036355,2.715191989151511,0.6735752151797669,1.2142831724495817,7.597771404878406,0.6862137686285186,2.7987480052936053,4.239062910475999,0.5400846944917603,7.336633816812088
2.4056381755230283,10.653757135966046,10.31477787302878,3.007113960682739,4.722102844859377,19.313290609154254,2.628177925879527,10.624925489169057,11.198537968871925,2.4838212341298793,18.692519427190447
1.9652726192724068,8.741451582486093,8.46110921529759,2.398841739310731,3.8513276063972812,17.096913969030723,2.1475248787948487,8.717448211043644,9.836600946929131,1.972354732785675,16.539902706221945
1.5404094085013198,6.944560200028949,6.718821516273021,1.9544216213720267,3.0435074556139474,12.292252582521545,1.6836005328093484,6.925417416005642,7.011083697943532,1.616383750261008,11.880440820663763
1.4100043610621782,6.183525275083013,5.98585663437452,1.4466910952113499,2.7014484944398176,17.48328967186792,1.541168603064258,6.1658715552801,9.982553543733319,1.1504921034260263,16.91501381947408
1.6033337566251804,7.223917902779798,6.989356942956082,2.0413149365718697,3.1686566708274078,12.631091853263676,1.752321888445263,7.204046550201804,7.212976536578153,1.6893360604810614,12.208735488949696
2.4604974078831554,10.92615490989932,10.578143904218152,3.151440924227822,4.847461224063087,18.396353413996756,2.6880418132641637,10.896747337697143,10.66718648169317,2.6135957508395924,17.80170749515999
